"","user_id","consent","age","gender","year_study","data_check","GSL_mean","Intrinsic_mean","STARS_mean","PASS_sum","pass_1","pass_2","pass_3","pass_4","pass_5","pass_6"
"90",99342,1,17,1,1,1,3,3.25,4.25,29,5,4,5,5,5,5
"91",99344,1,18,1,1,1,4.2,4.5,3.625,13,4,2,3,1,1,2
"92",99352,1,17,1,1,1,3.2,3.75,3,19,5,3,4,2,2,3
"93",99354,1,18,1,1,1,3.8,4,4.125,18,5,4,3,1,2,3
"94",99358,1,18,1,1,1,3.4,5.25,2.875,12,3,3,2,1,1,2
"95",99361,1,24,1,2,1,3.6,4.75,2.625,22,5,4,5,1,2,5
"96",99370,1,42,1,1,1,4,4,3.625,17,3,3,3,2,2,4
"97",99372,1,18,1,1,1,3.4,5,3,18,3,4,5,1,2,3
"98",99374,1,18,1,1,1,2.8,4.75,3.75,17,4,3,2,2,3,3
"99",99376,1,19,1,1,1,4.2,4.75,4.125,17,4,3,3,2,2,3
"100",99377,1,18,0,1,1,4.6,5,3.125,16,3,4,2,2,2,3
"101",99378,1,18,1,1,1,2,2,4.25,27,4,4,5,5,4,5
"102",99388,1,23,1,1,1,2.2,4.75,4.75,26,5,4,3,5,4,5
"103",99395,1,18,1,1,1,2.2,3.5,3.625,30,5,5,5,5,5,5
"104",99396,1,17,1,1,1,3.2,4.25,2.5,22,5,3,4,2,4,4
"105",99400,1,18,1,1,1,3,4,4.625,21,4,3,4,1,5,4
"106",99404,1,21,1,1,1,3.6,6,4.125,25,5,4,5,3,4,4
"107",99412,1,17,1,1,1,1.8,4.75,3.875,26,4,5,5,3,4,5
"108",99413,1,18,1,1,1,5.4,5.75,2.375,18,3,3,4,4,2,2
"109",99414,1,19,1,1,1,5,5.75,4.25,23,4,4,5,5,2,3
"110",99419,1,18,1,2,1,3.6,5,3.375,25,5,3,3,5,5,4
"111",99422,1,18,1,1,1,3.4,3.5,3.75,24,5,5,5,3,2,4
"112",99423,1,20,1,1,1,5.4,4.75,4.125,15,2,1,3,2,2,5
"113",99426,1,19,1,2,1,3.2,5.5,3.375,23,3,4,3,5,5,3
"114",99431,1,19,1,1,1,4,5.5,2.875,17,4,3,3,2,2,3
"115",99438,1,17,0,1,1,3.6,4.25,3.125,20,4,3,5,2,3,3
"116",99441,1,17,1,1,1,3.6,5,3.75,16,3,3,5,2,1,2
"117",99447,1,18,1,1,1,5.8,6.75,3.625,16,2,3,4,1,3,3
"118",99449,1,18,1,1,1,4.6,5.25,5,18,3,4,5,1,2,3
"119",99471,1,18,1,1,1,4.2,5.25,4.25,12,3,3,2,1,1,2
"120",99476,1,18,1,1,1,2.6,3.25,3.625,16,3,4,4,1,1,3
"121",99499,1,18,1,1,1,3,4.75,3.25,22,4,3,5,3,4,3
"122",99505,1,18,1,1,1,3.4,4.25,4.75,22,4,4,5,3,3,3
"123",99509,1,19,2,1,1,4.8,6.5,3.625,22,5,3,4,4,2,4
"124",99511,1,18,1,1,1,4.4,3.25,2.625,16,4,3,4,1,2,2
"125",99521,1,18,1,1,1,4.8,5.75,4.25,16,5,4,1,3,1,2
"126",99548,1,18,1,1,1,4.4,4.25,3.375,18,2,2,3,4,4,3
"127",99582,1,18,1,1,1,4,5.5,5,22,4,4,5,3,3,3
"128",99595,1,18,1,1,1,4.4,5.75,3.375,16,3,2,4,4,1,2
"129",99637,1,18,1,1,1,2.6,3.25,3.75,25,5,4,5,3,4,4
"130",99642,1,17,1,1,1,4.2,5,2.75,17,3,3,4,2,2,3
"131",99655,1,18,1,1,1,4.4,4,4.25,18,4,3,4,2,1,4
"132",99678,1,18,1,1,1,4.8,5,4.625,19,4,4,3,2,3,3
"133",99685,1,18,1,1,1,4.4,5.25,3.375,21,4,3,5,3,2,4
"134",99698,1,18,1,1,1,4.4,4.5,3.5,16,4,5,3,2,1,1
"135",99710,1,18,1,1,1,2.8,4.25,4.125,24,5,5,5,2,2,5
"136",99718,1,18,1,1,1,3.4,3.75,4.625,19,4,3,4,3,3,2
"137",99722,1,18,1,1,1,4.8,5.75,2.375,21,5,3,5,2,3,3
"138",99727,1,18,0,1,1,2.4,2.5,1.75,25,5,4,5,3,5,3
"139",99728,1,18,1,1,1,3.4,3.75,3.875,19,3,3,5,2,4,2
"140",99729,1,18,0,1,1,3.8,5.25,2.25,20,4,4,5,2,2,3
